ISSN,ISSN_L,TITLE
1452-774X,1452-774X,ǂThe ǂInternational Scientific Journal of Management Information Systems
2455-1422,2455-1422,AARMSS international journal of management and social science research
2410-3918,2410-3918,"Academic Journal of Business	 Administration	 Law and Social Sciences"
2393-4913,2393-4913,Academic Journal of Economic Studies
2305-2864,2305-2864,Academic journal of management sciences
2311-326X,2311-326X,Academic journal of research in business and accounting
2311-3278,2311-3278,Academic journal of research in economics and management
2152-2820,2152-2820,"Accounting, economics, and law."
2345-6752,2345-6752,Advanced social humanities and management
1855-931X,1855-931X,Advances in business related scientific research journal
2394-1545,2394-1545,Advances in economics and business management
2398-4457,2398-4457,Advances in management and informatics
2173-0164,2173-0164,AESTIMATIO : the IEB International Journal of Finance
0976-3600,1817-7417,African Journal of Business Ethics
1993-8233,1993-8233,African Journal of Business Management
2275-5233,2275-5233,African management studies
2234-3075,2234-3075,Agribusiness and information management
2193-7532,2193-7532,Agricultural and Food Economics
1068-2805,1068-2805,Agricultural and resource economics review
2414-584X,2414-584X,Agricultural and resource economics
0139-570X,0139-570X,Agricultural Economics (AGRICECON)
2008-4722,2008-4722,Agricultural Economics & Development
1804-1930,1804-1930,AGRIS on-line Papers in Economics and Informatics
1816-9171,1816-9171,Al-Qadisiya journal of administration and economic sciences
2164-5167,2164-5167,American Journal of Industrial and Business Management
2313-4755,2313-4747,American journal of trade and policy
1584-0409,1584-0409,Annals of Dunarea de Jos University. Fascicle I : Economics and Applied Informatics
2068-6900,2068-6900,Annals of Spiru Haret University Economic Series
1583-0691,1583-0691,Annals of the Oradea University: Fascicle Management and Technological Engineering
1843-3723,1223-365X,Annals of the University of Craiova: Economic Sciences Series
1582-5450,1222-569X,Annals of the University of Oradea: Economic Science
1582-5949,1582-5949,Annals of the University of Petrosani: Economics
2455-6602,2455-6602,"Anveshana's international journal of research in regional studies	 law	 social sciences	 journalism and management practices."
2347-5005,2347-5005,Apeejay - journal of management sciences and technology
2252-8997,2252-8997,APMBA (Asia Pacific Management and Business Application)
2312-9832,2312-9832,Applied sciences and business economics
2214-4625,2214-4625,Arab Economic and Business Journal
2411-7633,2411-7633,"Asia-Pacific journal of education	 business and society."
1394-2603,1394-2603,Asian Academy of Management Journal
1823-4992,1823-4992,Asian Academy of Management Journal of Accounting and Finance
2313-819X,2313-819X,Asian bulletin of energy economics and technology
2304-2613,2304-2613,Asian business review
2305-2147,2222-6737,Asian economic and financial review
2041-8744,2041-8744,Asian journal of business management
2312-3656,2312-3656,Asian journal of economic modelling
2518-010X,2409-2622,Asian journal of economics and empirical research
2477-0574,2477-0574,Asian Journal of Innovation and Entrepreneurship (AJIE)
2413-0591,2413-0591,Asian journal of management sciences and economics
2312-9034,2312-9034,Asian journal of research in business and management
2312-9042,2312-9042,Asian journal of research in economics and finance
2383-0948,2383-0948,Asian journal of social and economic sciences
2313-7401,2313-7401,Asian journal of social sciences and management studies
1978-6956,1978-6956,Asian Journal of Technology Management
2174-3835,2174-3835,Atlantic Review of Economics
1834-2000,1834-2000,"Australasian Accounting	 Business and Finance Journal"
1835-6354,1835-6354,Australasian Journal of Construction Economics and Building
1839-0846,1839-0846,Australian journal of business and management research
1324-1540,1324-1540,Australian journal of emergency management
2312-3125,2312-3125,Automation Technological and Business-Processes
2455-9776,2455-9776,Avyukta journal of management and social sciences
2391-8160,2391-8160,Balkan Region Conference on Engineering and Business Education
2345-0193,2345-0193,Baltic journal of career education and management
1406-099X,1406-099X,Baltic Journal of Economics
2255-9671,2255-9604,Baltic Journal of Real Estate Economics and Construction Management
1807-734X,1807-734X,BBR: Brazilian Business Review
1808-2386,1808-2386,BBR. Brazilian Business Review
1488-4666,1488-4666,BC journal of ecosystems and management
2087-1228,2087-1228,Binus Business Review
2280-6180,2280-6172,Bio-based and Applied Economics
1679-8171,1679-8171,Brazilian Journal of Operations & Production Management
2278-098X,2278-098X,"British Journal of Economics	 Management & Trade"
2367-7082,2367-7082,Bulgarian Economic Papers
1318-2927,1318-2927,"Bulletin economics, organisation and informatics in healthcare."
2409-9368,2409-9368,Bulletin of business and economics
1732-4254,1732-4254,Bulletin of Geography: Socio-Economic Series
2065-2194,2065-2194,Bulletin of the Transilvania University of Brasov. Series V : Economic Sciences
2412-1770,2412-1770,"Business	 management and economics research."
2029-6169,2029-7491,"Business	 Management and Education "
2241-312X,2241-312X,Business & entrepreneurship journal
2148-2586,2148-2586,Business & Management Studies: An International Journal
0894-6825,0894-6825,Business and economic history on-line
1804-1205,1804-1205,Business and Economic Horizons
2162-4860,2162-4860,Business and economic research
2052-3963,2052-3963,Business and management education in HE
2348-2737,2348-2737,Business dimensions
2248-1354,2248-1354,Business Excellence and Management
2347-6044,2347-6044,Business forschung
2047-7031,2047-7031,Business management dynamics
2170-1679,2170-1679,Business Management Review
2363-9296,2363-930X,Business reporting
1866-8658,1866-8658,Business Research
2340-9436,2340-9436,Business Research Quarterly
1847-8344,1847-8344,Business Systems Research
1648-0627,1648-0627,Business: Theory and Practice
2152-372X,2152-372X,"Case Studies in Business	 Industry and Government Statistics"
2353-9119,2353-9119,Central and Eastern European Journal of Management and Economics
1805-4854,1805-4854,Central European Business Review
2336-2693,2336-4890,Central European Journal of Management
2416-2663,2416-2663,CEU Business School working paper series
2395-2830,2395-2830,Chanakya international journal of business research
2497-1979,2497-1979,Chance & finance
1029-807X,1029-807X,China accounting and finance review
2196-5633,2196-5633,China Finance and Economic Review
2330-6297,2330-6297,Class, race and corporate power
2331-1975,2331-1975,Cogent Business & Management
2332-2039,2332-2039,Cogent Economics & Finance
2393-851X,2393-851X,Commonwealth journal of commerce & management research
2241-195X,2241-195X,Communications in mathematical finance
1508-2008,1508-2008,Comparative Economic Research
2204-9029,2204-9029,Construction Economics and Building
2300-8814,2084-0845,Contemporary Economics
2082-033X,2082-033X,Contemporary Management Quarterly
2335-7959,2335-7959,Contemporary Research on Organization Management and Administration
1846-3878,1330-4860,Croatian Economic Survey
2286-0452,2286-0452,Cross-Cultural Management Journal
1805-6830,1805-6830,"Czech Journal of Social Sciences	 Business and Economics."
1923-6530,1923-6530,Dalhousie journal of interdisciplinary management
2281-4299,2281-4299,"Department of computer	 control	 and management engineering Antonio Ruberti Technical reports."
2297-7066,2297-7066,Design economics
2468-211X,2468-211X,Dutch journal of finance and management
2232-5867,2232-5867,Dynamic Relationships Management Journal (DRMJ)
2508-1640,2508-1640,East Asian Economic Review
2234-3040,2234-3040,East Asian Journal of Business Management
2297-0223,2297-0223,"East european journal of economics, politics and law"
2451-1935,2451-1935,Econometric Research in Finance
1454-0320,1454-0320,Economia: Seria Management
2367-9409,1312-7462,Economic Alternatives
2178-0587,2178-0587,Economic Analysis of Law Review
1579-1475,1579-1475,Economic Analysis Working Papers
